id,num_orders
1028232,145
1127204,152
1212707,135
1082698,47
1400926,46
1284113,332
1197966,344
1132739,235
1057981,109
1095932,124
1454421,93
1149765,263
1166964,433
1010949,237
1409575,27
1181616,25
1456020,303
1264395,113
1472931,166
1412015,92
1461229,160
1014564,125
1485914,181
1345389,176
1006833,181
1174921,34
1175393,34
1152412,26
1497398,26
1363486,27
1366766,26
1192413,26
1319547,213
1337684,213
1479766,225
1460444,832
1139730,765
1115056,830
1335827,111
1385333,912
1096323,1152
1230693,1081
1027016,144
1181520,111
1306234,138
1271440,991
1269834,522
1176823,706
1193098,84
1034878,84
1010243,144
1451807,144
1016845,127
1198021,170
1413802,160
1231223,116
1274226,745
1425142,402
1211593,507
1419190,44
1180223,57
1194932,159
1323477,256
1371595,202
1171521,146
1052384,189
1060921,149
1261811,524
1246502,386
1497466,472
1232717,50
1136112,50
1196334,607
1349533,283
1463406,305
1447686,143
1336105,143
1012855,618
1180646,453
1062490,307
1098228,1184
1101375,1025
1400016,1189
1439889,65
1408468,67
1044490,110
1290002,641
1190633,729
1040430,1115
1049366,128
1224120,153
1293810,144
1197335,924
1323989,646
1129467,760
1229328,78
1164395,78
1217722,88
1171266,88
1024905,88
1343027,188
1141892,96
1302404,78
1170447,681
1140772,332
1103484,487
1387134,25
1117711,25
1472121,32
1289523,443
1091114,442
1043572,575
1103283,101
1265051,101
1168741,101
1052776,283
1206564,353
1302153,237
1083754,32
1097952,37
1251605,32
1333032,637
1086936,250
1088412,250
1236400,72
1244516,73
1380381,73
1495062,385
1439647,572
1019214,301
1316160,397
1022008,397
1138248,399
1052922,32
1181474,41
1046475,42
1216688,476
1067565,426
1008328,406
1430287,179
1406716,173
1105380,180
1248694,483
1252163,281
1443474,465
1033716,55
1300295,55
1311882,55
1257968,111
1226362,112
1030655,143
1210527,76
1278927,47
1232239,52
1133067,409
1382522,402
1219136,310
1498130,32
1251629,35
1032092,45
1249865,209
1207630,217
1144733,223
1436768,40
1148964,44
1237346,176
1206015,152
1105113,145
1430481,52
1001589,58
1224132,52
1074380,347
1097109,234
1211246,209
1390579,297
1473058,295
1186964,276
1222837,33
1342393,42
1170472,280
1170791,271
1046653,268
1195179,156
1332509,156
1438300,158
1435748,918
1052668,285
1227060,526
1342252,68
1143109,68
1394807,62
1448374,103
1028680,93
1079691,96
1402079,47
1424446,53
1133297,353
1076214,526
1173823,317
1488584,23
1072892,24
1277491,27
1290868,239
1048888,239
1138141,233
1473125,39
1196726,38
1179278,38
1282305,109
1359903,103
1355143,103
1095889,39
1250665,39
1426610,94
1390104,385
1051519,437
1337584,362
1332667,1046
1075942,991
1109804,1038
1316684,114
1248315,137
1113611,158
1110867,2086
1247289,1463
1022953,1475
1160081,172
1120430,171
1487280,171
1020081,1661
1329551,881
1137610,1356
1072530,154
1115708,154
1203532,149
1494216,283
1116374,283
1032497,311
1413930,328
1136118,149
1254872,190
1398257,1191
1364001,649
1369843,865
1379360,70
1442044,70
1285290,83
1129707,884
1086750,634
1147262,719
1025605,187
1414158,211
1082079,193
1467510,376
1374892,368
1171352,357
1213246,89
1279131,98
1256386,81
1234220,1604
1008206,445
1267686,445
1470186,137
1233312,128
1279379,138
1431703,400
1339938,409
1010552,397
1237947,554
1175098,555
1066074,554
1045918,56
1226081,49
1148633,665
1441429,776
1291804,563
1305194,115
1327840,149
1320801,147
1467101,596
1473989,264
1466330,453
1390856,68
1120639,68
1279275,75
1166120,82
1128404,52
1252491,56
1328056,499
1452353,339
1353276,383
1297182,23
1469299,27
1129687,357
1362599,350
1245170,365
1098570,47
1452600,47
1194207,47
1023619,200
1254600,200
1157094,216
1165391,26
1131248,67
1383646,333
1288250,95
1476141,94
1401237,57
1383510,54
1433607,55
1098207,226
1453624,233
1089046,165
1306954,1173
1413179,1173
1379869,1173
1037218,93
1247919,179
1097438,146
1441938,1358
1060769,1326
1409283,1371
1397517,164
1220386,103
1297481,168
1309280,1207
1013813,776
1087803,1038
1256077,60
1328392,60
1197947,168
1134877,168
1149222,168
1321757,170
1364052,146
1346914,163
1343936,836
1284997,500
1443980,858
1272226,45
1267791,40
1049345,47
1300007,721
1220471,540
1486124,644
1183373,138
1076787,138
1218918,138
1351627,375
1333350,384
1312936,375
1477543,50
1408514,50
1256773,56
1174904,656
1392815,361
1389126,287
1074816,109
1124612,122
1318251,112
1089252,435
1396463,440
1289632,332
1083889,291
1121896,283
1004866,280
1234436,33
1311318,64
1476647,42
1419834,277
1188670,262
1260238,255
1263791,109
1070835,106
1433069,135
1349084,613
1360259,204
1022475,383
1037167,58
1492031,58
1057541,58
1483675,72
1463966,72
1474096,72
1440771,46
1452763,52
1382621,348
1035365,458
1355984,281
1140520,19
1168148,188
1052343,188
1370827,161
1055728,31
1053449,31
1368579,31
1208370,86
1027455,54
1147326,60
1203029,45
1389643,79
1482071,62
1411487,274
1043533,309
1294351,224
1409427,261
1000264,237
1016463,254
1224218,26
1485114,57
1006410,112
1221242,228
1031339,191
1153545,148
1182144,108
1194788,115
1082828,80
1265773,884
1154515,134
1105986,287
1293017,36
1272587,30
1027143,56
1179146,64
1342337,56
1269746,41
1369030,256
1109605,218
1099603,323
1319113,19
1155697,23
1218892,152
1493357,142
1202597,152
1116108,29
1229780,21
1391127,29
1085957,106
1267409,52
1245159,68
1378973,68
1079844,224
1024089,209
1463712,196
1268331,358
1058344,354
1417277,321
1056035,73
1343254,147
1262833,122
1272751,313
1013213,524
1263405,424
1204818,92
1333742,86
1043262,90
1449237,1066
1080908,333
1073524,1198
1196482,128
1068138,128
1320427,160
1184166,214
1228572,276
1075131,214
1128915,156
1182843,88
1094044,412
1209858,540
1222963,346
1037477,51
1001694,45
1054299,78
1371044,228
1254718,202
1086268,228
1003757,46
1448276,46
1489645,316
1491279,219
1408337,219
1360068,107
1316400,118
1110618,163
1146271,516
1474849,389
1352055,319
1245977,110
1165288,131
1081099,124
1441467,70
1336838,330
1106150,284
1190084,138
1232610,138
1321845,111
1159511,304
1441739,194
1096623,160
1474925,25
1118719,25
1297074,25
1054861,199
1208736,308
1161439,114
1282737,143
1194305,120
1353044,143
1063225,23
1116078,20
1075416,27
1088172,41
1320248,292
1271591,375
1127237,176
1243020,261
1416839,255
1172788,261
1473056,81
1060753,24
1053540,253
1261815,268
1489999,135
1133739,57
1384693,56
1072117,192
1023989,134
1183974,236
1171351,29
1004475,29
1080300,41
1164653,26
1444590,30
1169717,132
1399692,107
1393811,118
1177147,16
1455218,18
1478944,98
1415824,95
1041241,88
1045506,16
1210059,58
1139397,30
1008295,26
1406978,41
1470180,41
1326956,174
1268964,174
1267165,547
1414458,547
1105486,640
1246396,36
1223814,68
1208097,68
1426257,353
1402266,691
1273610,857
1082679,143
1061395,160
1448891,170
1121802,1130
1017920,411
1220913,461
1201769,76
1214790,78
1055980,78
1143296,51
1161381,51
1049400,47
1388858,132
1367157,54
1056911,54
1363870,582
1206999,301
1220962,299
1244866,23
1161719,23
1492231,275
1492759,310
1408726,282
1337818,126
1136894,126
1050836,119
1157808,419
1438743,419
1092027,419
1286976,25
1244383,25
1220086,25
1014137,455
1460613,103
1269949,105
1022949,54
1118546,53
1006832,258
1461216,276
1333438,304
1014151,412
1196661,350
1072688,345
1161832,33
1146287,54
1329636,54
1113345,367
1079296,381
1245711,340
1312378,167
1280461,147
1132214,239
1013410,424
1315890,506
1453825,347
1137590,23
1046820,23
1100813,23
1213133,34
1119887,33
1339495,48
1172173,30
1250692,29
1000962,416
1122867,350
1367068,344
1181254,19
1411654,104
1154407,104
1477833,29
1422724,32
1112704,238
1346146,254
1108405,238
1194904,114
1448084,37
1266676,34
1099057,33
1188584,248
1230753,246
1237054,373
1161084,261
1401228,256
1493372,253
1395665,47
1002279,103
1424621,150
1256602,238
1390004,239
1146927,225
1057232,40
1319822,64
1353668,32
