id,num_orders
1028232,114
1127204,152
1212707,210
1082698,47
1400926,39
1284113,208
1197966,303
1132739,223
1057981,108
1095932,128
1454421,114
1149765,233
1166964,433
1010949,273
1409575,17
1181616,31
1456020,338
1264395,144
1472931,99
1412015,72
1461229,150
1014564,147
1485914,137
1345389,176
1006833,215
1174921,36
1175393,18
1152412,26
1497398,25
1363486,25
1366766,28
1192413,26
1319547,352
1337684,54
1479766,227
1460444,1582
1139730,872
1115056,441
1335827,110
1385333,732
1096323,851
1230693,1078
1027016,148
1181520,92
1306234,172
1271440,967
1269834,519
1176823,701
1193098,98
1034878,87
1010243,179
1451807,133
1016845,139
1198021,137
1413802,72
1231223,112
1274226,696
1425142,399
1211593,269
1419190,45
1180223,62
1194932,134
1323477,254
1371595,187
1171521,180
1052384,188
1060921,111
1261811,233
1246502,381
1497466,535
1232717,49
1136112,49
1196334,396
1349533,311
1463406,291
1447686,213
1336105,107
1012855,674
1180646,441
1062490,226
1098228,1493
1101375,860
1400016,559
1439889,65
1408468,80
1044490,75
1290002,530
1190633,701
1040430,1105
1049366,129
1224120,131
1293810,188
1197335,924
1323989,646
1129467,806
1229328,56
1164395,62
1217722,65
1171266,127
1024905,85
1343027,176
1141892,67
1302404,82
1170447,683
1140772,462
1103484,293
1387134,28
1117711,21
1472121,32
1289523,404
1091114,523
1043572,540
1103283,133
1265051,105
1168741,78
1052776,188
1206564,251
1302153,467
1083754,41
1097952,28
1251605,30
1333032,930
1086936,302
1088412,203
1236400,51
1244516,72
1380381,68
1495062,565
1439647,250
1019214,317
1316160,660
1022008,578
1138248,218
1052922,34
1181474,69
1046475,55
1216688,317
1067565,582
1008328,410
1430287,157
1406716,191
1105380,166
1248694,571
1252163,280
1443474,367
1033716,56
1300295,53
1311882,50
1257968,66
1226362,153
1030655,133
1210527,76
1278927,43
1232239,60
1133067,362
1382522,457
1219136,280
1498130,25
1251629,41
1032092,27
1249865,163
1207630,225
1144733,201
1436768,46
1148964,41
1237346,176
1206015,69
1105113,229
1430481,35
1001589,66
1224132,58
1074380,398
1097109,352
1211246,220
1390579,339
1473058,331
1186964,118
1222837,34
1342393,52
1170472,197
1170791,316
1046653,270
1195179,153
1332509,147
1438300,148
1435748,1239
1052668,280
1227060,374
1342252,78
1143109,58
1394807,56
1448374,69
1028680,138
1079691,96
1402079,46
1424446,69
1133297,348
1076214,547
1173823,319
1488584,19
1072892,31
1277491,26
1290868,241
1048888,239
1138141,283
1473125,58
1196726,32
1179278,30
1282305,98
1359903,76
1355143,139
1095889,42
1250665,121
1426610,74
1390104,488
1051519,423
1337584,211
1332667,2222
1075942,1541
1109804,671
1316684,116
1248315,182
1113611,150
1110867,794
1247289,982
1022953,1790
1160081,134
1120430,131
1487280,223
1020081,1757
1329551,881
1137610,1329
1072530,143
1115708,169
1203532,151
1494216,246
1116374,426
1032497,183
1413930,323
